tid,title,Header,concept1,concept2,Proposed _relation_c1,Proposed_objects_c1,Proposed_relation_c2,Proposed_objects_c2
t0085,Classification and causes of alopecia,Classification and causes of alopecia,Scarring,Discoid lupus erythematosusRadiotherapyFolliculitis decalvansLichen planopilaris,Has morphology,symptoms/clinical findings/qualifier,Has cause,symptoms/clinical findings/disease/organism
t0090,Skin problems in general medicine,Skin problems in general medicine,Primary skin problems,•Cellulitis•Vasculitis,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Primary skin problems,•Leg ulcers•Pressure sores,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Skin involvement in multisystem disease,"•Genetic: neurofibromatosis, tuberous sclerosis•Xanthomas•Amyloidosis",,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Skin involvement in multisystem disease,•Porphyria•Sarcoidosis•Systemic lupus erythematosus•Systemic sclerosis,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Non-specific and variable skin reactions to systemic disease,•Urticaria•Erythema multiforme•Annular erythemas•Erythema nodosum,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Non-specific and variable skin reactions to systemic disease,•Pyoderma gangrenosum•Sweet's syndrome•Generalised pruritus,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Skin conditions associated with malignancy,•Dermatomyositis•Generalised pruritus,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Skin conditions associated with malignancy,•Acanthosis nigricans•Superficial thrombophlebitis,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Miscellaneous,•Granuloma annulare,,,,
t0090,Skin problems in general medicine,Skin problems in general medicine,Miscellaneous,•Morphoea,,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Exanthematous,"Erythema, maculopapular",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Exanthematous,"Antibiotics (especially ampicillin), anticonvulsants, gold, penicillamine, NSAIDs, carbimazole, anti-TNF drugs and other biological therapies",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Erythema, maculopapular","Antibiotics (especially ampicillin), anticonvulsants, gold, penicillamine, NSAIDs, carbimazole, anti-TNF drugs and other biological therapies",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Urticaria and angioedema,Sometimes accompanied by angioedema,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Urticaria and angioedema,"Salicylates, opiates, NSAIDs, antibiotics, dextran, ACE inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Sometimes accompanied by angioedema,"Salicylates, opiates, NSAIDs, antibiotics, dextran, ACE inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Urticaria and angioedema,Angioedema alone,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Urticaria and angioedema,"Salicylates, opiates, NSAIDs, antibiotics, dextran, ACE inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Angioedema alone,"Salicylates, opiates, NSAIDs, antibiotics, dextran, ACE inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Lichenoid,"Violaceous, lichen planus-like, dyspigmentation",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Lichenoid,"Gold, penicillamine, antimalarials, thiazides, NSAIDs, β-blockers, ACE inhibitors, sulphonamides, lithium, sulphonylureas, proton pump inhibitors, quinine, antituberculous, dyes in colour developers",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Violaceous, lichen planus-like, dyspigmentation","Gold, penicillamine, antimalarials, thiazides, NSAIDs, β-blockers, ACE inhibitors, sulphonamides, lithium, sulphonylureas, proton pump inhibitors, quinine, antituberculous, dyes in colour developers",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Purpura and vasculitis,Palpable purpura and necrosis,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Purpura and vasculitis,"Allopurinol, antibiotics, ACE inhibitors, NSAIDs, aspirin, anticonvulsants, diuretics, oral contraceptives",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Palpable purpura and necrosis,"Allopurinol, antibiotics, ACE inhibitors, NSAIDs, aspirin, anticonvulsants, diuretics, oral contraceptives",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Erythema multiforme,Target-like lesions and bullae on extensor aspects of limbs,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Erythema multiforme,"See XREF, XREF",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Target-like lesions and bullae on extensor aspects of limbs,"See XREF, XREF",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Erythema nodosum,"Tender, painful, dusky, erythematous nodules on shins",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Erythema nodosum,"See XREF, XREF",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Tender, painful, dusky, erythematous nodules on shins","See XREF, XREF",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Exfoliative dermatitis,There may be erythroderma,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Exfoliative dermatitis,"Allopurinol, carbamazepine, barbiturates, penicillins, PAS, isoniazid, gold, lithium, penicillamine, ACE inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",There may be erythroderma,"Allopurinol, carbamazepine, barbiturates, penicillins, PAS, isoniazid, gold, lithium, penicillamine, ACE inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Toxic epidermal necrolysis,"Rapid evolution, extensive blistering, erythema, necrolysis, mucosal involvement",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Toxic epidermal necrolysis,"Anticonvulsants, antibiotics, especially sulphonamides, NSAIDs, terbinafine, sulphonylureas, antiretrovirals, allopurinol",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Rapid evolution, extensive blistering, erythema, necrolysis, mucosal involvement","Anticonvulsants, antibiotics, especially sulphonamides, NSAIDs, terbinafine, sulphonylureas, antiretrovirals, allopurinol",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Photosensitivity (XREF),"Photo-exposed site rash, may be sunburn-like, exfoliation, lichenoid",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Photosensitivity (XREF),"Thiazides, amiodarone, quinine, NSAIDs, tetracyclines, fluoroquinolones, phenothiazines, sulphonamides, retinoids, psoralens",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Photo-exposed site rash, may be sunburn-like, exfoliation, lichenoid","Thiazides, amiodarone, quinine, NSAIDs, tetracyclines, fluoroquinolones, phenothiazines, sulphonamides, retinoids, psoralens",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Drug-induced lupus,"Photosensitivity, discoid lesions, urticarial or erythema multiforme-like. May have positive lupus serology and anti-histone antibodies",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Drug-induced lupus,"Allopurinol, thiazides, ACE inhibitors, PAS, anticonvulsants, β-blockers, gold, hydralazine, minocycline, penicillamine, lithium, proton pump inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Photosensitivity, discoid lesions, urticarial or erythema multiforme-like. May have positive lupus serology and anti-histone antibodies","Allopurinol, thiazides, ACE inhibitors, PAS, anticonvulsants, β-blockers, gold, hydralazine, minocycline, penicillamine, lithium, proton pump inhibitors",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Psoriasiform rash,Rash resembles psoriasis,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Psoriasiform rash,See XREF (XREF),,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Rash resembles psoriasis,See XREF (XREF),,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",DRESS,"Facial oedema, fever, extensive rash, lymphadenopathy, eosinophilia and systemic involvement",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",DRESS,"Anticonvulsants, trimethoprim, minocycline, allopurinol, dapsone, terbinafine",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Facial oedema, fever, extensive rash, lymphadenopathy, eosinophilia and systemic involvement","Anticonvulsants, trimethoprim, minocycline, allopurinol, dapsone, terbinafine",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",AGEP/toxic pustuloderma,"Rapid onset of sterile, non-follicular pustules on erythematous base",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",AGEP/toxic pustuloderma,"Ampicillin/amoxicillin, erythromycin, quinolones, sulphonamides, terbinafine, diltiazem, hydroxychloroquine",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Rapid onset of sterile, non-follicular pustules on erythematous base","Ampicillin/amoxicillin, erythromycin, quinolones, sulphonamides, terbinafine, diltiazem, hydroxychloroquine",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Acneiform eruptions,Rash resembles acne,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Acneiform eruptions,"Lithium, anticonvulsants, oral contraceptives, androgens, glucocorticoids, antituberculous drugs, EGFR antagonists (cetuximab and erlotinib)",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Rash resembles acne,"Lithium, anticonvulsants, oral contraceptives, androgens, glucocorticoids, antituberculous drugs, EGFR antagonists (cetuximab and erlotinib)",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Pigmentation,See XREF (XREF),,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",,See XREF (XREF),,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Bullous eruptions,"Often at pressure sites and there may be other features, such as purpura, milia",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Bullous eruptions,"Barbiturates, penicillamine, furosemide",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Often at pressure sites and there may be other features, such as purpura, milia","Barbiturates, penicillamine, furosemide",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Pseudoporphyria,May be indistinguishable from porphyria cutanea tarda clinically,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Pseudoporphyria,"NSAIDs, tetracyclines, retinoids, furosemide, nalidixic acid",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",May be indistinguishable from porphyria cutanea tarda clinically,"NSAIDs, tetracyclines, retinoids, furosemide, nalidixic acid",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Exacerbation of acute hepatic porphyrias,See XREFAlways check all drugs for safety of use in porphyrias against standard guidelines,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",,See XREFAlways check all drugs for safety of use in porphyrias against standard guidelines,,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Drug-induced immunobullous disease,"May resemble pemphigoid, pemphigus, dermatomyositis, scleroderma, epidermolysis bullosa acquisita",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Drug-induced immunobullous disease,"Penicillamine, ACE inhibitors, vancomycin",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","May resemble pemphigoid, pemphigus, dermatomyositis, scleroderma, epidermolysis bullosa acquisita","Penicillamine, ACE inhibitors, vancomycin",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Fixed drug eruptions,"Round/oval, erythema, oedema ± bullaeSame site every time drug is givenPigmentation on resolution",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Fixed drug eruptions,"Tetracyclines, sulphonamides, penicillins, quinine, NSAIDs, barbiturates, anticonvulsants",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]","Round/oval, erythema, oedema ± bullaeSame site every time drug is givenPigmentation on resolution","Tetracyclines, sulphonamides, penicillins, quinine, NSAIDs, barbiturates, anticonvulsants",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Hair loss,Diffuse,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Hair loss,"Cytotoxic agents, oral retinoids, anticoagulants, anticonvulsants, antithyroid drugs, lithium, oral contraceptives, infliximab",,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Diffuse,"Cytotoxic agents, oral retinoids, anticoagulants, anticonvulsants, antithyroid drugs, lithium, oral contraceptives, infliximab",,,,
t0095,Clinical patterns of drug eruptions,"[""Clinical features""]",Hypertrichosis,Excessive hair growth in non-androgenic distribution,,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Hypertrichosis,"Diazoxide, minoxidil, ciclosporin",Has cause,,,
t0095,Clinical patterns of drug eruptions,"[""Examples of causative drugs""]",Excessive hair growth in non-androgenic distribution,"Diazoxide, minoxidil, ciclosporin",Has cause,,,
